Car_ID Racer_Turbo
48 0
124 0
222 0
207 0
167 0
159 0
20 2
178 2
30 0
1 0
51 2
183 2
177 0
5 2
218 4
39 2
68 0
10 0
67 0
43 0
170 0
216 4
99 0
89 0
95 0
228 4
7 0
14 2
8 2
145 2
102 0
36 2
189 0
111 2
140 2
161 0
37 2
243 0
184 0
66 0
101 0
21 2
200 0
2 0
23 0
59 0
42 0
83 0
16 0
181 2
0 0
88 0
25 2
176 0
134 2
127 0
104 2
120 2
85 0
Showcar 2
108 2
98 2
130 2
12 0
232 2
Vip 2
96 2
15 2
65 0
92 2
179 4
63 0
35 0
79 0
4341 2
156 0
220 0
44 0
19 2
123 2
57 4
230 0
33 2
75 0
175 0
115 0
153 0
76 2
56 0
50 0
163 2
53 2
241 0
114 0
41 0
116 0
137 2
212 0
52 2
93 0
226 0
22 0
70 0
128 0
40 0
238 0
31 0
71 0
18 0
38 2
46 0
49 0
28 0
219 2
185 0
162 2
180 2
103 0
197 0
74 0
150 0
78 0
141 0
17 2
187 0
69 0
100 2
112 0
172 2
91 0
158 0
182 2
225 0
81 0
6 2
121 0
211 0
186 0
4 0
72 0
45 0
1051 2
84 2
118 0
174 0
138 0
242 0
3 4
193 0
94 2
11 0
86 0
9 2
142 0
126 0
144 0
110 0
34 0
190 0
235 2
24 0
64 
122 0
106 2
113 2
13 2
237 0
